_id,ISBN#,Title,Traslation,Category,Language,Number of Pages,Publisher Name,Published Date,Unit Selling Price
5f0eae1d16009521bc2799a0,978-969-7879-15-1,kamyabi ka pegham,,self help,urdu,192,,,500
5f0eae1d16009521bc2799a1,978-969-7879-16-8,zara num ho,,self help,urdu,112,,,300
5f0eae1d16009521bc2799a2,978-969-7879-17-5,bari manzil ka musafir,,self help,urdu,255,,,500
5f0eae1d16009521bc2799a3,978-969-7879-18-2,unchi udaan,,self help,urdu,255,,,500
5f0eae1d16009521bc2799a4,978-969-7879-19-9,apni talash,,self help,urdu,190,,,400
5f0eae1d16009521bc2799a5,978-969-7879-22-9,soch ka hamalia,,self help,urdu,287,,,600
5f0eae1d16009521bc2799a6,978-969-7879-20-5,career encyclopedia,,self help,urdu,328,,,700
5f0eae1d16009521bc2799a7,978-969-7879-23-6,ap ka bacha kamyab ho sakta hai,,self help,urdu,200,,,500
5f0eae1d16009521bc2799a8,978-969-7879-27-4,targheeb,,self help,urdu,139,,,400
5f0eae1d16009521bc2799a9,978-969-7879-28-1,guftugu qasim ali shah kay sath,,self help,urdu,260,,,700
5f0eae1d16009521bc2799aa,978-969-7879-29-8,teacher sy trainer tak,,self help,urdu,197,,,600
5f0eae1d16009521bc2799ab,978-969-7879-21-2,365 aqwaal,,self help,urdu,365,,,350
5f0eae1d16009521bc2799ac,978-969-652-133-4,jeet ki janib,Qasim ali shah ,self help,urdu,224,,,640
5f0eae1d16009521bc2799ad,978-969-7879-02-1,harf harf haqeeqat,,islamic,urdu,176,,,500
5f0eae1d16009521bc2799ae,978-969-7879-03-8,dil darya samandar,,islamic,urdu,192,,,500
5f0eae1d16009521bc2799af,978-969-7879-04-5,qatra qatra qulzam,,islamic,urdu,160,,,500
5f0eae1d16009521bc2799b0,978-969-7879-06-9,kiran kiran suraj,,islamic,urdu,112,,,400
5f0eae1d16009521bc2799b1,978-969-7879-24-3,dareechay,,islamic,urdu,112,,,400
5f0eae1d16009521bc2799b2,978-969-7879-05-2,baat sy baat,,islamic,urdu,112,,,400
5f0eae1d16009521bc2799b3,978-969-7879-01-4,wasfiat,,islamic,urdu,528,,,1300
5f0eae1d16009521bc2799b4,978-969-7879-00-7,aqwaal e wasif ali wasif,,islamic,urdu,336,,,1000
